strain	date	location	host	clade
Oropouche/KP795090/Peru/1997	1997-08	Peru	Homo sapiens	Unknown
Oropouche/KP795087/Peru/1995	1995-06	Peru	Homo sapiens	Unknown
Oropouche/KP795084/Peru/2008	2008-03	Peru	Homo sapiens	Unknown
Oropouche/KP795081/Panama/1989	1989	Panama	Homo sapiens	Unknown
Oropouche/KP795078/Panama/1989	1989-08	Panama	Homo sapiens	Unknown
Oropouche/KP795075/Panama/1989	1989	Panama	Homo sapiens	Unknown
Oropouche/KP795072/Peru/1992	1992-04	Peru	Homo sapiens	Unknown
Oropouche/KP691630/Brazil/2009	2009-08	Brazil	Homo sapiens	Unknown
Oropouche/KP691621/Brazil/2009	2009-07	Brazil	Homo sapiens	Unknown
Oropouche/KP691618/Brazil/2009	2009-06	Brazil	Homo sapiens	Unknown
Oropouche/KP691615/Brazil/2009	2009-07	Brazil	Homo sapiens	Unknown
Oropouche/KP691612/Brazil/2009	2009-07	Brazil	Homo sapiens	Unknown
Oropouche/KP691609/Brazil/2009	2009-07	Brazil	Homo sapiens	Unknown
Oropouche/KP691606/Brazil/2009	2009-07	Brazil	Homo sapiens	Unknown
Oropouche/KP691603/Brazil/2009	2009-07	Brazil	Homo sapiens	Unknown
Oropouche/KP052850/Brazil/1960	1960	Brazil	Bradypus tridactylus	Unknown
Oropouche/KP026179/Trinidad_and_Tobago/1955	1955	Trinidad_and_Tobago	Homo sapiens	Unknown
Oropouche_AM0088/PP992529/Brazil/2024	2024-01	Brazil	Homo sapiens	Unknown
Madre_de_Dios/KJ866391/Venezuela/2010	2010	Venezuela	Cebus sp.	MDDV
Madre_de_Dios/KF697147/Peru/2007	2007	Peru	Homo sapiens	MDDV
Jatobal_virus/NC_043578/Brazil/1984	1984	Brazil	Nasua nasua	JATV
Iquitos_virus/PQ863772/Ecuador/2024	2024	Ecuador	Homo sapiens	IQTV
Iquitos_virus/KJ866388/Peru/2009	2009-01	Peru	Homo sapiens	IQTV
Iquitos_virus/KF697142/Peru/1999	1999	Peru	Homo sapiens	IQTV
H682431	2005-07	Brazil	Homo sapiens	Unknown
H669314	2003-10	Brazil	Homo sapiens	Unknown
H544699	1996-08	Brazil	Homo sapiens	Unknown
H543890	1996-05	Brazil	Homo sapiens	Unknown
H543823	1996-05	Brazil	Homo sapiens	Unknown
H543805	1996-05	Brazil	Homo sapiens	Unknown
H543104	1996-05	Brazil	Homo sapiens	Unknown
H543091	1996-04	Brazil	Homo sapiens	Unknown
H543087	1996-04	Brazil	Homo sapiens	Unknown
H532496	1994-01	Brazil	Homo sapiens	Unknown
H532004	1995-02	Brazil	Homo sapiens	Unknown
H505861	1991-01	Brazil	Homo sapiens	Unknown
H505842	1991-05	Brazil	Homo sapiens	Unknown
H505808	1991-05	Brazil	Homo sapiens	Unknown
H477652	1988-06	Brazil	Homo sapiens	Unknown
H477651	1988-06	Brazil	Homo sapiens	Unknown
H473096	1988-05	Brazil	Homo sapiens	Unknown
H473094	1988-05	Brazil	Homo sapiens	Unknown
H472459	1988-05	Brazil	Homo sapiens	Unknown
H472457	1988-05	Brazil	Homo sapiens	Unknown
H472454	1988-05	Brazil	Homo sapiens	Unknown
H472448	1988-05	Brazil	Homo sapiens	Unknown
H390240	1980-12	Brazil	Homo sapiens	Unknown
H390235	1980-12	Brazil	Homo sapiens	Unknown
H384181	1980-07	Brazil	Homo sapiens	Unknown
H384177	1980-07	Brazil	Homo sapiens	Unknown
H382302	1980-05	Brazil	Homo sapiens	Unknown
H382295	1980-05	Brazil	Homo sapiens	Unknown
H382290	1980-05	Brazil	Homo sapiens	Unknown
H382283	1980-05	Brazil	Homo sapiens	Unknown
H382224	1980-05	Brazil	Homo sapiens	Unknown
H382089	1980-05	Brazil	Homo sapiens	Unknown
H382086	1980-05	Brazil	Homo sapiens	Unknown
H381742	1980-05	Brazil	Homo sapiens	Unknown
H381740	1980-04	Brazil	Homo sapiens	Unknown
H381724	1980-04	Brazil	Homo sapiens	Unknown
H380988	1980-04	Brazil	Homo sapiens	Unknown
H380976	1980-04	Brazil	Homo sapiens	Unknown
H380956	1980-04	Brazil	Homo sapiens	Unknown
H380940	1980-04	Brazil	Homo sapiens	Unknown
H373934	1979-12	Brazil	Homo sapiens	Unknown
H373931	1979-11	Brazil	Homo sapiens	Unknown
H367188	1979-06	Brazil	Homo sapiens	Unknown
H366596	1979-05	Brazil	Homo sapiens	Unknown
H364046	1979-04	Brazil	Homo sapiens	Unknown
H363902	1979-04	Brazil	Homo sapiens	Unknown
H362429	1979-03	Brazil	Homo sapiens	Unknown
H362090	1979-01	Brazil	Homo sapiens	Unknown
H353829	1978-09	Brazil	Homo sapiens	Unknown
H353643	1978-09	Brazil	Homo sapiens	Unknown
H352526	1978-08	Brazil	Homo sapiens	Unknown
H352427	1978-08	Brazil	Homo sapiens	Unknown
H352351	1978-08	Brazil	Homo sapiens	Unknown
H352349	1978-08	Brazil	Homo sapiens	Unknown
H352346	1978-08	Brazil	Homo sapiens	Unknown
H322087	1979-03	Brazil	Homo sapiens	Unknown
H285627	1975-08	Brazil	Homo sapiens	Unknown
H284119	1975-09	Brazil	Homo sapiens	Unknown
H282914	1975-09	Brazil	Homo sapiens	Unknown
H282773	1975-07	Brazil	Homo sapiens	Unknown
H281903	1975-09	Brazil	Homo sapiens	Unknown
H280027	1975-06	Brazil	Homo sapiens	Unknown
H271777	1975-05	Brazil	Homo sapiens	Unknown
H271763	1975-03	Brazil	Homo sapiens	Unknown
H29872	1961-05	Brazil	Homo sapiens	Unknown
AN423380	1984-05	Brazil	Homo sapiens	JATV
AN364263	1979-04	Brazil	Homo sapiens	Unknown
